                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81281,                 0.6851,                 1.1582,                0.85716,                0.73189,                0.85921,                0.64847,                0.92019,                0.66441,                 1.2739,             0.00063389,             0.00063389,             0.00063389
                     36,                0.84124,                0.67864,                 1.1715,                0.82056,                0.79652,                0.85589,                0.63851,                0.94794,                0.61919,                 1.2768,             0.00063153,             0.00063153,             0.00063153
                     37,                0.86304,                0.70393,                 1.1825,                0.85974,                0.82583,                0.87374,                0.66021,                0.94519,                0.63187,                 1.2909,             0.00062918,             0.00062918,             0.00062918
                     38,                0.84622,                0.74719,                 1.1985,                0.86573,                0.78782,                0.87348,                0.64503,                0.94022,                0.62721,                  1.276,             0.00062682,             0.00062682,             0.00062682
                     39,                0.85537,                0.67812,                 1.1864,                0.82001,                0.79776,                0.87266,                0.65291,                0.93453,                0.64688,                 1.2648,             0.00062446,             0.00062446,             0.00062446
                     40,                0.83705,                0.69594,                 1.1756,                0.80506,                0.78511,                0.85978,                0.65045,                 0.9386,                0.63827,                  1.281,             0.00062211,             0.00062211,             0.00062211
                     41,                0.82896,                0.65875,                 1.1669,                0.86498,                0.79669,                0.86902,                0.65431,                0.95969,                0.62367,                 1.3047,             0.00061975,             0.00061975,             0.00061975
                     42,                 0.8061,                0.65346,                 1.1563,                0.83797,                 0.8263,                 0.8834,                0.67156,                0.92574,                0.60264,                 1.2493,              0.0006174,              0.0006174,              0.0006174
                     43,                0.80468,                0.65974,                 1.1682,                0.84882,                0.76511,                0.85684,                0.64266,                0.92171,                0.62894,                 1.2662,             0.00061504,             0.00061504,             0.00061504
                     44,                0.81357,                0.63984,                 1.1571,                0.88838,                0.81961,                0.90278,                0.68784,                0.94693,                0.59834,                 1.2807,             0.00061268,             0.00061268,             0.00061268
                     45,                0.79871,                0.64056,                  1.141,                0.82794,                0.84218,                0.87894,                0.66595,                0.94954,                0.63729,                 1.2782,             0.00061033,             0.00061033,             0.00061033
                     46,                0.79888,                  0.644,                  1.167,                  0.914,                0.77958,                0.89232,                 0.6795,                0.92822,                0.61313,                 1.2623,             0.00060797,             0.00060797,             0.00060797
                     47,                0.77647,                0.58954,                 1.1309,                0.86274,                0.81773,                0.90064,                0.67816,                0.92505,                0.59818,                 1.2476,             0.00060561,             0.00060561,             0.00060561
                     48,                0.78117,                0.62283,                 1.1535,                0.88024,                0.77374,                0.87433,                0.65918,                0.92681,                0.66314,                 1.2575,             0.00060326,             0.00060326,             0.00060326
                     49,                0.80911,                0.63651,                 1.1704,                0.84134,                0.74947,                0.83675,                0.62751,                0.93785,                0.64631,                 1.2885,              0.0006009,              0.0006009,              0.0006009
                     50,                 0.8119,                0.60994,                 1.1574,                0.81752,                0.84323,                0.88368,                0.66538,                0.93003,                0.62374,                 1.2846,             0.00059855,             0.00059855,             0.00059855
                     51,                0.79519,                0.60627,                 1.1357,                0.86314,                0.83131,                0.90445,                0.67968,                0.92003,                0.59078,                 1.2731,             0.00059619,             0.00059619,             0.00059619
                     52,                0.77785,                0.61616,                 1.1338,                0.88426,                0.77381,                 0.8782,                 0.6626,                0.94141,                0.63502,                 1.2856,             0.00059383,             0.00059383,             0.00059383
                     53,                  0.772,                0.58739,                 1.1268,                0.90441,                0.78767,                0.89932,                0.67191,                0.90544,                 0.6057,                 1.2587,             0.00059148,             0.00059148,             0.00059148
                     54,                0.78189,                0.61292,                 1.1511,                0.88769,                0.77383,                0.88809,                0.66699,                0.93741,                0.61077,                 1.2663,             0.00058912,             0.00058912,             0.00058912
                     55,                 0.7959,                0.59611,                 1.1433,                 0.8483,                0.79365,                0.87451,                0.67192,                0.92738,                  0.613,                 1.2676,             0.00058677,             0.00058677,             0.00058677
                     56,                0.79071,                0.59506,                 1.1295,                0.88712,                0.81436,                0.90484,                0.69993,                0.90791,                0.60772,                 1.2579,             0.00058441,             0.00058441,             0.00058441
                     57,                 0.7593,                0.59691,                 1.1461,                 0.8459,                0.81471,                0.88991,                0.66157,                0.93977,                 0.5913,                 1.2797,             0.00058205,             0.00058205,             0.00058205
                     58,                0.75526,                 0.5481,                 1.1124,                0.84575,                0.84054,                0.89288,                0.67282,                0.90747,                0.59411,                 1.2432,              0.0005797,              0.0005797,              0.0005797
                     59,                 0.7497,                0.57421,                 1.1126,                0.83085,                0.84112,                0.89108,                0.68208,                0.89081,                0.58958,                 1.2473,             0.00057734,             0.00057734,             0.00057734
                     60,                 0.7652,                0.57674,                 1.1347,                0.81534,                 0.8023,                0.88642,                 0.6721,                0.94882,                0.61979,                 1.2905,             0.00057498,             0.00057498,             0.00057498
                     61,                 0.7461,                0.55959,                   1.12,                0.89546,                0.78029,                0.87363,                 0.6624,                0.92997,                0.60852,                 1.2493,             0.00057263,             0.00057263,             0.00057263
                     62,                 0.7516,                0.56012,                 1.1227,                 0.8688,                0.79802,                0.88412,                 0.6778,                0.91098,                0.62991,                 1.2417,             0.00057027,             0.00057027,             0.00057027
                     63,                0.74726,                0.57502,                 1.1267,                0.84699,                0.80318,                0.86438,                0.65341,                0.93265,                0.58391,                 1.2834,             0.00056792,             0.00056792,             0.00056792
                     64,                0.71233,                0.54784,                  1.107,                 0.8286,                0.87129,                0.91337,                 0.7022,                 0.9162,                0.55792,                 1.2637,             0.00056556,             0.00056556,             0.00056556
